Id,Date,League,HomeTeam,AwayTeam,HomeWin,Draw,AwayWin,OverOneGoal,OverTwoGoals,OverThreeGoals,OverFourGoals,UnderOneGoal,UnderTwoGoals,UnderThreeGoals,UnderFourGoals
3,10.10.2024 7:00,India - Delhi Premier League,Tarun Sangha FC,Indian Air Force,0.216,0.203,0.582,0,0,0.567,0.464,0,0,0.433,0.536
7,10.10.2024 9:00,India - Sikkim Premier League,Kumar Sporting FC,Howler's FC,0.265,0.228,0.507,0,0,0.502,0.383,0,0,0.498,0.617
12,10.10.2024 9:30,Club Friendlies,Winterthur,FC Wil,0.519,0.231,0.249,0,0.604,0.377,0,0,0.396,0.623,0
17,10.10.2024 10:15,India - Bangalore Super Division,HAL SC Bangalore,Bangalore Independents,0.426,0.16,0.415,0,0.615,0.377,0,0,0.385,0.623,0
19,10.10.2024 11:00,Club Friendlies,FC Koln,Bochum,0.402,0.254,0.344,0,0.604,0.385,0,0,0.396,0.615,0
20,10.10.2024 11:00,Club Friendlies,ADO Den Haag,NAC Breda,0.51,0.241,0.249,0,0.605,0.385,0,0,0.395,0.615,0
21,10.10.2024 11:00,Club Friendlies,Fortuna Dusseldorf,Heracles Almelo,0.495,0.238,0.266,0,0.642,0.425,0.301,0,0.358,0.575,0.699
33,10.10.2024 12:00,Club Friendlies,Grasshopper Club Zurich,Neuchatel Xamax,0.422,0.252,0.326,0,0.61,0.394,0,0,0.39,0.606,0
46,10.10.2024 13:00,Club Friendlies,Sturm Graz II,Floridsdorfer AC,0.355,0.256,0.389,0,0.649,0.437,0.311,0,0.351,0.563,0.689
71,10.10.2024 17:00,Club Friendlies,Groningen,Viking,0.406,0.262,0.332,0,0.607,0.392,0,0,0.393,0.608,0
74,10.10.2024 17:30,Israel - Premier League Women,Hapoel Tel Aviv,Hapoel Be'er Sheva,0.369,0.244,0.387,0,0.604,0.382,0,0,0.396,0.618,0
136,11.10.2024 17:00,Germany - Regionalliga North,SV Drochtersen Assel,Werder Bremen Am,0.439,0.253,0.308,0,0.61,0.392,0,0,0.39,0.608,0
140,11.10.2024 17:30,Germany - Regionalliga West,SC Wiedenbruck 2000,Turkspor Dortmund,0.535,0.229,0.236,0,0.645,0.426,0.297,0,0.355,0.574,0.703
141,11.10.2024 17:30,Germany - Regionalliga West,Schalke 04 II,FC Guthersloh 2000,0.364,0.263,0.373,0,0.61,0.394,0,0,0.39,0.606,0
142,11.10.2024 17:30,Germany - Regionalliga North,Lubeck,Kickers Emden,0.319,0.232,0.448,0,0.644,0.43,0.304,0,0.356,0.57,0.696
143,11.10.2024 18:00,England - Professional Development League U21,Colchester United,Queens Park Rangers,0.362,0.203,0.434,0,0,0.514,0.401,0,0,0.486,0.599
