Id,Date,League,HomeTeam,AwayTeam,HomeWin,Draw,AwayWin,OverOneGoal,OverTwoGoals,OverThreeGoals,OverFourGoals,UnderOneGoal,UnderTwoGoals,UnderThreeGoals,UnderFourGoals
1,11.10.2024 3:30,India - Mumbai Super Division,Ratnam SA,Soccer Saga,0.131,0.161,0.708,0,0,0.526,0.405,0,0,0.474,0.595
2,11.10.2024 8:00,Indonesia - Liga 2,Deltras Sidoarjo,Persipura Jayapura,0.694,0.205,0.101,0.699,0.468,0,0,0.301,0.532,0,0
4,11.10.2024 8:30,Indonesia - Liga 2,Gresik United,Persewar Waropen,0.721,0.206,0.073,0.681,0.445,0,0,0.319,0.555,0,0
13,11.10.2024 9:00,Club Friendlies,MFK Karvina,Odra Opole,0.758,0.141,0.1,0,0,0.527,0.404,0,0,0.473,0.596
14,11.10.2024 9:00,Club Friendlies,FC Zurich,FC Vaduz,0.688,0.183,0.129,0,0.645,0.422,0.288,0,0.355,0.578,0.712
21,11.10.2024 12:00,Bhutan - Premier League,Transport United FC,BFF Academy FC,0.889,0.068,0.043,0,0,0.664,0.575,0,0,0.336,0.425
22,11.10.2024 12:00,UEFA - U21 Euro Championship Qualifiers,North Macedonia,Moldova,0.654,0.209,0.137,0.772,0.533,0.31,0,0.228,0.467,0.69,0
26,11.10.2024 12:30,Saudi Arabia - U19 League,AL Taawon Buraidah,Al-Orobah Al-Jawf,0.729,0.161,0.109,0,0,0.524,0.409,0,0,0.476,0.591
31,11.10.2024 12:45,Club Friendlies,Levski Sofia,Hebar,0.73,0.166,0.104,0,0.607,0.378,0,0,0.393,0.622,0
33,11.10.2024 13:00,International - Kings Cup,Thailand,Philippines,0.806,0.131,0.063,0.807,0.595,0.365,0,0.193,0.405,0.635,0
37,11.10.2024 13:00,CAF - Africa Cup of Nations Qualifiers,Zambia,Chad,0.748,0.192,0.06,0.708,0.446,0,0,0.292,0.554,0,0
59,11.10.2024 14:00,Jordan - Shield Cup,Al Faisaly Amman,Al Salt,0.672,0.2,0.127,0,0.55,0.324,0,0,0.45,0.676,0
64,11.10.2024 15:00,Slovenia - 2. SNL,Aluminij,Ilirija Extra-Lux,0.679,0.197,0.124,0,0.552,0.324,0,0,0.448,0.676,0
68,11.10.2024 15:30,International - Friendlies U20,Germany,Poland,0.686,0.189,0.125,0,0.589,0.362,0,0,0.411,0.638,0
70,11.10.2024 16:00,Mexico - Liga TDP,FC Juarez II,Novillos Neza,0.815,0.137,0.049,0,0.538,0.31,0,0,0.462,0.69,0
80,11.10.2024 16:00,Czech Republic - 3. Liga CFL,Usti nad Labem,Mlada Boleslav II,0.746,0.147,0.107,0,0,0.491,0.363,0,0,0.509,0.637
81,11.10.2024 16:00,UEFA - U21 Euro Championship Qualifiers,Germany,Bulgaria,0.901,0.067,0.032,0.865,0.699,0.48,0.355,0.135,0.301,0.52,0.645
82,11.10.2024 16:00,CAF - Africa Cup of Nations Qualifiers,Egypt,Mauritania,0.794,0.18,0.026,0,0.544,0.322,0,0,0.456,0.678,0
83,11.10.2024 16:00,CAF - Africa Cup of Nations Qualifiers,Uganda,South Sudan,0.692,0.224,0.083,0.675,0.41,0,0,0.325,0.59,0,0
86,11.10.2024 16:00,CAF - Africa Cup of Nations Qualifiers,Nigeria,Libya,0.751,0.19,0.059,0.703,0.452,0,0,0.297,0.548,0,0
88,11.10.2024 16:30,Mexico - Liga TDP,Heroes de Zaci FC,CDC Domínguez Osos,0.736,0.175,0.089,0,0.576,0.346,0,0,0.424,0.654,0
89,11.10.2024 16:30,Austria - Landesliga,SV Grodig,FC Puch,0.688,0.169,0.143,0,0.682,0.46,0.331,0,0.318,0.54,0.669
93,11.10.2024 16:30,Germany - Bundesliga Women,Turbine Potsdam,SG Essen-Schonebeck,0.121,0.2,0.679,0,0.535,0.309,0,0,0.465,0.691,0
95,11.10.2024 16:30,UEFA - U21 Euro Championship Qualifiers,Turkiye,Latvia,0.763,0.15,0.087,0.851,0.66,0.437,0,0.149,0.34,0.563,0
111,11.10.2024 17:00,Denmark - Elitedivisionen Women,Kolding,Nordsjaelland,0.079,0.129,0.793,0,0.593,0.363,0,0,0.407,0.637,0
122,11.10.2024 17:00,Germany - Regionalliga Bavaria,Schweinfurt,Viktoria Aschaffenburg,0.681,0.195,0.125,0,0.576,0.352,0,0,0.424,0.648,0
124,11.10.2024 17:00,CAF - Africa Cup of Nations Qualifiers,South Africa,Congo,0.681,0.217,0.101,0,0.472,0,0,0,0.528,0,0
130,11.10.2024 17:30,Germany - Oberliga Westfalen,TUS Bovinghausen 04,Spvgg Erkenschwick,0.04,0.087,0.873,0,0,0.646,0.568,0,0,0.354,0.432
138,11.10.2024 18:00,England - Championship Women,Sheffield United,Birmingham City,0.1,0.193,0.707,0,0.525,0,0,0,0.475,0,0
150,11.10.2024 18:15,Germany - Oberliga Hamburg,Eimsbuetteler TV,Harksheide,0.837,0.097,0.067,0,0,0.653,0.566,0,0,0.347,0.434
157,11.10.2024 18:30,Wales - Championship,Pontypridd Town,Cwmbran Celtic FC,0.706,0.162,0.132,0,0,0.516,0.398,0,0,0.484,0.602
160,11.10.2024 18:30,Italy - Serie C Group C,Trapani,Messina,0.687,0.2,0.113,0,0.537,0.311,0,0,0.463,0.689,0
174,11.10.2024 18:45,Northern Ireland - Premiership Women,Mid Ulster,Lisburn Rangers,0.023,0.043,0.934,0,0,0.612,0.506,0,0,0.388,0.494
175,11.10.2024 18:45,Northern Ireland - Premiership Women,Glentoran,Linfield,0.714,0.146,0.14,0,0,0.507,0.389,0,0,0.493,0.611
177,11.10.2024 18:45,Wales - Championship,Trethomas Bluebirds,Afan Lido,0.686,0.159,0.155,0,0,0.5,0.373,0,0,0.5,0.627
179,11.10.2024 18:45,Ireland - Division 1,Wexford,Kerry,0.67,0.195,0.135,0.816,0.598,0.372,0,0.184,0.402,0.628,0
184,11.10.2024 18:45,UEFA - U21 Euro Championship Qualifiers,England,Ukraine,0.75,0.156,0.094,0.838,0.637,0.412,0,0.162,0.363,0.588,0
187,11.10.2024 18:45,UEFA - Nations League B,Turkey,Montenegro,0.747,0.165,0.088,0.81,0.595,0.367,0,0.19,0.405,0.633,0
191,11.10.2024 18:45,UEFA - Nations League A,Bosnia and Herzegovina,Germany,0.075,0.146,0.78,0,0.655,0.433,0.297,0,0.345,0.567,0.703
194,11.10.2024 19:00,Northern Ireland - Premiership Women,Crusaders Newtownabbey Strikers,Cliftonville,0.026,0.047,0.927,0,0,0.595,0.485,0,0,0.405,0.515
196,11.10.2024 19:00,CAF - Africa Cup of Nations Qualifiers,Mali,Guinea-Bissau,0.683,0.237,0.079,0.624,0.357,0,0,0.376,0.643,0,0
198,11.10.2024 19:00,CAF - Africa Cup of Nations Qualifiers,Senegal,Malawi,0.829,0.133,0.038,0,0.565,0.34,0,0,0.435,0.66,0
199,11.10.2024 19:00,CAF - Africa Cup of Nations Qualifiers,Angola,Niger,0.683,0.239,0.078,0.628,0.36,0,0,0.372,0.64,0,0
200,11.10.2024 19:00,CAF - Africa Cup of Nations Qualifiers,Ivory Coast,Sierra Leone,0.835,0.131,0.034,0,0.608,0.382,0,0,0.392,0.618,0
201,11.10.2024 19:00,CAF - Africa Cup of Nations Qualifiers,Tunisia,Comoros,0.781,0.177,0.042,0.685,0.422,0,0,0.315,0.578,0,0
202,11.10.2024 19:30,Algeria - Ligue 1,MC Alger,MC Oran,0.729,0.234,0.037,0,0.504,0,0,0,0.496,0,0
204,11.10.2024 20:00,CONCACAF - Nations League,Sint Maarten,Puerto Rico,0.097,0.142,0.761,0,0,0.475,0.339,0,0,0.525,0.661
205,11.10.2024 20:30,Ecuador - Serie B,CD Independiente Juniors,Vargas Torres,0.672,0.224,0.105,0.672,0.406,0,0,0.328,0.594,0,0
207,11.10.2024 21:00,CONCACAF - Nations League,Grenada,Curacao,0.121,0.207,0.672,0,0.511,0,0,0,0.489,0,0
211,11.10.2024 22:00,Argentina - Liga Pro Reserves,River Plate,Deportivo Riestra,0.808,0.146,0.046,0,0.504,0,0,0,0.496,0,0
212,11.10.2024 22:00,Uruguay - Primera Division,Penarol,Deportivo Maldonado,0.777,0.164,0.059,0.743,0.493,0.276,0,0.257,0.507,0.724,0
