iter	RMSE
0	1.223237814
1	1.208454599
2	1.195233952
3	1.18128746
4	1.167137
5	1.153034535
6	1.141887572
7	1.127155226
8	1.113781742
9	1.103840733
10	1.090424868
11	1.083855632
12	1.071117368
13	1.056775023
14	1.044360447
15	1.033314933
16	1.021125849
17	1.008928502
18	0.997071199
19	0.9894309528
20	0.9792742833
21	0.9696072988
22	0.958346209
23	0.9481983177
24	0.9374018585
25	0.9270514145
26	0.9157550636
27	0.9078833028
28	0.8969358324
29	0.8879077483
30	0.8795846408
31	0.8715659013
32	0.8614785017
33	0.8508273629
34	0.8411826736
35	0.8327217607
36	0.8234866015
37	0.8135064514
38	0.8060334005
39	0.7967677064
40	0.7886845044
41	0.7793396028
42	0.7697654476
43	0.7597570842
44	0.7508665105
45	0.7421989719
46	0.7355526698
47	0.7273884174
48	0.7196378731
49	0.7113327567
50	0.7048775073
51	0.6963036554
52	0.6878553136
53	0.6807296069
54	0.6741896392
55	0.6665063787
56	0.6622016287
57	0.6538040198
58	0.6456593873
59	0.6385668449
60	0.6317842423
61	0.6240347911
62	0.6166981887
63	0.6090002714
64	0.6016680468
65	0.5961011909
66	0.5893250748
67	0.5821767249
68	0.5785624998
69	0.5725206435
70	0.5665468842
71	0.5594968512
72	0.5531058587
73	0.5465466841
74	0.5392280006
75	0.5330919095
76	0.5275056106
77	0.5239273432
78	0.5172225853
79	0.5118957012
80	0.5065072133
81	0.5005172355
82	0.4950548332
83	0.4897350848
84	0.4845486466
85	0.479930137
86	0.4743295236
87	0.4695542665
88	0.4637982944
89	0.4582188764
90	0.4527663034
91	0.4477381411
92	0.4424509094
93	0.4369029456
94	0.4319376349
95	0.427137655
96	0.4222315274
97	0.4172050868
98	0.4124069702
99	0.407794999
