iter	Passed	Remaining
0	0	70
1	3	151
2	5	184
3	8	196
4	8	164
5	11	177
6	11	155
7	14	166
8	17	177
9	19	172
10	21	176
11	22	165
12	24	162
13	26	164
14	29	167
15	29	157
16	32	160
17	35	163
18	39	166
19	39	159
20	43	161
21	44	158
22	47	159
23	50	160
24	52	157
25	55	157
26	58	158
27	59	153
28	62	153
29	66	154
30	69	154
31	74	157
32	77	157
33	80	156
34	84	157
35	90	160
36	93	158
37	97	158
38	100	157
39	103	155
40	106	153
41	109	151
42	112	149
43	115	147
44	118	145
45	121	142
46	124	140
47	129	139
48	133	139
49	137	137
50	142	136
51	144	133
52	147	130
53	150	128
54	152	124
55	155	121
56	155	117
57	159	115
58	162	113
59	167	111
60	170	108
61	171	105
62	173	102
63	177	99
64	180	96
65	181	93
66	183	90
67	187	88
68	188	84
69	197	84
70	200	82
71	207	80
72	210	77
73	214	75
74	218	72
75	222	70
76	225	67
77	226	63
78	229	61
79	232	58
80	236	55
81	240	52
82	249	51
83	253	48
84	261	46
85	263	42
86	266	39
87	269	36
88	272	33
89	275	30
90	278	27
91	281	24
92	284	21
93	288	18
94	292	15
95	296	12
96	298	9
97	301	6
98	304	3
99	306	0
